countryId,year,competitions,fastest_seconds,fastest_person
Albania,2018,1,8.3,Ron van Bruchem
Albania,2019,1,7.45,Reto Bubendorf
Albania,2019,1,7.45,Reto Bubendorf
Albania,2019,1,7.45,Reto Bubendorf
Albania,2022,1,6.2,Ron van Bruchem
Algeria,2016,2,8.81,Ron van Bruchem
Algeria,2017,2,8.54,Yacine Habbi
Algeria,2018,1,6.73,Meryame Arezki
Algeria,2019,2,6.74,Abdelghani Nadji
Algeria,2022,1,9.55,Mouhamed Islem Boukri
Algeria,2023,1,12.07,Mahmoud Ibrahim
Algeria,2025,1,15.36,Slimane Siroukane
Andorra,2014,1,8.92,Pedro Luis Mu�oz Ya�ez
Andorra,2016,1,6.86,Pedro Luis Mu�oz Ya�ez
Andorra,2017,1,8.09,Alan Chang
Andorra,2018,1,6.47,Pedro Luis Mu�oz Ya�ez
Andorra,2019,1,6.52,Marcos Ameijeiras Moreno
Andorra,2021,1,7.63,Marcos Ameijeiras Moreno
Andorra,2024,1,7.36,Ron van Bruchem
Andorra,2025,1,NULL,NULL
Angola,2023,1,8.22,Marlon de V. Marques
Angola,2024,3,8.25,Marlon de V. Marques
Angola,2025,3,8.51,Omer Yusuf Gonen
Argentina,2011,3,10.58,Angelo Mauricio Adasme Alfaro
Argentina,2012,1,11.91,Claudio Gonzalez
Argentina,2013,3,8.91,Claudio Gonzalez
Argentina,2014,1,9.45,Claudio Gonzalez
Argentina,2015,5,8.83,Lucas Santiago Bernhardt Caruncho
Argentina,2015,5,8.83,Lucas Santiago Bernhardt Caruncho
Argentina,2016,4,7.68,Carlos Pedro Casado de Ach�val
Argentina,2016,4,7.68,Carlos Pedro Casado de Ach�val
Argentina,2017,8,7.14,Claudio Gonzalez
Argentina,2018,9,5.77,Claudio Gonzalez
Argentina,2019,7,5.5,Ting Sheng Bao Yang
Argentina,2020,2,5.83,Claudio Gonzalez
Argentina,2021,2,6.18,Julian Schaffhauser
Argentina,2022,10,5.37,Julian Schaffhauser
Argentina,2023,15,4.72,Rami Sbahi
Argentina,2024,21,4.49,Heron Sato
Argentina,2025,20,4.78,Julian Schaffhauser
Armenia,2018,1,8.69,Reto Bubendorf
Armenia,2018,1,8.69,Reto Bubendorf
Armenia,2018,1,8.69,Reto Bubendorf
Armenia,2021,1,5.45,Ron van Bruchem
Armenia,2023,4,6.15,Bruno Vervoort
Armenia,2024,5,7.41,Eduard Betanyan
Australia,2010,4,6.77,Arnaud van Galen
Australia,2011,7,5.66,Anders Larsson
Australia,2012,6,6.11,Edouard Chambon
Australia,2013,6,5.84,Dene Beardsley
Australia,2014,11,5.66,Joey Gouly
Australia,2015,13,5.61,Joshua Shing Shun Li
Australia,2016,15,4.73,Erik Akkersdijk
Australia,2017,12,4.75,Joshua Shing Shun Li
Australia,2018,15,4.22,Joey Gouly
Australia,2019,34,4.51,Ron van Bruchem
Australia,2020,14,5.08,Feliks Zemdegs
Australia,2021,33,4.65,Ting Sheng Bao Yang
Australia,2022,66,4.29,Jasmine Lee
Australia,2023,91,3.88,Ting Sheng Bao Yang
Australia,2024,98,3.67,Joey Gouly
Australia,2025,69,4.22,Ting Sheng Bao Yang
Austria,2010,1,8.46,Oliv�r Nagy
Austria,2011,1,9.38,Oliv�r Nagy
Austria,2012,2,8.53,Ron van Bruchem
Austria,2013,3,7.83,Oliv�r Nagy
Austria,2014,2,7.25,Anders Larsson
Austria,2016,2,6.49,Erik Akkersdijk
Austria,2017,1,7.42,Oliv�r Perge
Austria,2019,4,5.65,Markus Pirzer
Austria,2020,1,6.36,David Gugl
Austria,2022,1,5.65,Bence Bar�t
Austria,2023,6,5.52,G�bor Szab�
Austria,2024,6,4.81,D�niel Varga
Austria,2025,4,5.14,Matteo Provasi
Azerbaijan,2015,1,13.48,?skender Aznavur
Azerbaijan,2016,1,11.18,Ron van Bruchem
Azerbaijan,2017,1,9.64,Hikm?t M�rs?lzad?
Azerbaijan,2018,12,7.48,Reto Bubendorf
Azerbaijan,2018,12,7.48,Reto Bubendorf
Azerbaijan,2018,12,7.48,Reto Bubendorf
Azerbaijan,2019,13,7.63,Mahir Israfilov
Azerbaijan,2020,1,7.85,Javid Nabizade
Azerbaijan,2022,8,7.61,Niko Ronkainen
Azerbaijan,2023,3,6.15,Maxim Chechnev
Azerbaijan,2024,4,8.04,Vincenzo Maria Gammino
Azerbaijan,2025,2,NULL,NULL
Bahrain,2017,1,8.43,Francisco Hamlin
Bahrain,2018,1,9.83,Lester Santos
Bahrain,2019,2,8.09,Pulkit Mehra
Bahrain,2021,1,7.65,Rashid Alhajri
Bahrain,2022,1,8.14,Mohammed Jalal Alnajjar
Bahrain,2023,1,7.3,Mohammad Almoumen
Bahrain,2024,2,7.15,Rashid Alhajri
Bahrain,2025,1,6.21,Rashid Alhajri
Bangladesh,2017,1,7.44,Akash Rupela
Bangladesh,2018,2,5.63,Akash Rupela
Bangladesh,2019,3,5.83,Akash Rupela
Bangladesh,2022,1,6.11,Masnoon Haider Adam
Bangladesh,2023,4,6.03,Farrah Abdallah
Bangladesh,2024,4,5.23,Vincenzo Maria Gammino
Bangladesh,2025,7,5.39,Shreyas Mishra
Barbados,2025,1,7.82,Javier Gonzalez-Napoleoni
Belarus,2013,1,8.68,Anatoly Kim
Belarus,2014,6,6.84,Anatoly Kim
Belarus,2015,8,7.16,Anatoly Kim
Belarus,2016,5,6.82,Micha? Halczuk
Belarus,2017,5,7.47,Anatoly Kim
Belarus,2018,5,7.25,Grzegorz ?uczyna
Belarus,2019,10,5.51,Mats Valk
Belarus,2020,1,6.46,Dzmitry Melesh
Belgium,2010,1,8.84,Ron van Bruchem
Belgium,2011,2,8.03,Ron van Bruchem
Belgium,2012,4,6.44,Ron van Bruchem
Belgium,2013,4,5.55,Ron van Bruchem
Belgium,2014,6,7.08,Ton Dennenbroek
Belgium,2015,6,6.25,Ton Dennenbroek
Belgium,2016,3,7.56,Ton Dennenbroek
Belgium,2017,3,5.72,Ton Dennenbroek
Belgium,2018,7,5.19,Ton Dennenbroek
Belgium,2019,5,5.41,Ton Dennenbroek
Belgium,2020,1,5.46,Ton Dennenbroek
Belgium,2021,1,5.22,Christophe Woittequand
Belgium,2022,8,4.38,Ton Dennenbroek
Belgium,2023,13,4.76,Ton Dennenbroek
Belgium,2024,16,5.01,Ton Dennenbroek
Belgium,2025,14,4.58,Ton Dennenbroek
Belize,2023,2,7.45,Anthony Brooks
Belize,2023,2,7.45,Anthony Brooks
Belize,2025,1,7.5,Mason Langenderfer
Bolivia,2015,4,8.44,Eduardo Guti�rrez Cuba
